N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,26.5,80,6.5,200,Rice
85,40,40,27,82,6.3,220,Rice
88,38,42,25.8,78,6.4,210,Rice
22,18,15,20,60,6.0,90,Wheat
20,20,18,18.5,55,6.2,85,Wheat
25,15,20,19,58,6.1,80,Wheat
60,35,25,30,70,6.8,150,Corn
65,30,30,32,65,6.7,140,Corn
70,40,35,29,68,6.9,160,Corn
40,20,20,28,75,6.5,180,Jute
42,22,18,27,78,6.6,170,Jute
38,25,22,29,74,6.4,160,Jute
50,25,30,22,65,5.8,120,Potato
48,28,35,21,60,5.7,110,Potato
52,30,32,23,62,5.9,115,Potato
30,10,20,34,50,7.0,60,Millet
28,12,18,35,48,7.2,55,Millet
32,15,22,33,52,7.1,65,Millet
75,50,45,26,85,6.3,230,Rice
18,12,10,17,50,6.0,70,Wheat
68,45,40,31,67,6.8,155,Corn
45,23,21,28,76,6.5,175,Jute
55,27,33,22,63,5.8,118,Potato
29,14,19,34,49,7.1,58,Millet
